20MICRONS,02-JUN-2021,59.95,61.9,59.5,60.7,374552,168205,2863
21STCENMGM,02-JUN-2021,15.25,15.65,15.25,15.65,1810,1244,26
3IINFOTECH,02-JUN-2021,8.85,9.3,8.65,9.2,39107857,16480248,18106
3MINDIA,02-JUN-2021,25640.0,26000.0,25543.75,25967.2,3698,1785,2373
3PLAND,02-JUN-2021,14.05,14.05,13.25,13.5,3861,2461,95
5PAISA,02-JUN-2021,354.7,359.0,343.55,352.6,83657,43092,1661
AAKASH,02-JUN-2021,169.8,169.8,161.0,162.7,67602,28672,558
AARTIDRUGS,02-JUN-2021,746.0,778.5,742.85,761.1,2544960,526174,78437
AARTIIND,02-JUN-2021,1714.95,1725.5,1660.0,1669.6,958896,413168,60002
AARTISURF,02-JUN-2021,1415.0,1445.4,1411.95,1432.4,17958,9541,2291
AARVI,02-JUN-2021,67.8,69.55,62.1,67.7,74540,47315,936
AAVAS,02-JUN-2021,2287.0,2330.05,2270.0,2297.6,106432,84160,6976
ABAN,02-JUN-2021,36.55,37.1,36.0,37.1,177402,145940,1078
ABB,02-JUN-2021,1698.0,1717.0,1668.0,1700.55,314707,95665,22639
ABBOTINDIA,02-JUN-2021,15950.0,16000.0,15890.0,15988.3,27349,23487,3336
ABCAPITAL,02-JUN-2021,118.65,124.5,118.65,122.9,3212574,1228769,36517
ABFRL,02-JUN-2021,196.9,200.5,196.5,198.75,4130497,1806412,39204
ABMINTLTD,02-JUN-2021,59.25,60.75,58.35,58.85,1502,983,48
ABSLBANETF,02-JUN-2021,355.15,356.95,349.03,351.32,251,241,22
ABSLNN50ET,02-JUN-2021,386.0,386.0,383.0,385.95,184,97,16
ACC,02-JUN-2021,1975.25,2007.3,1970.9,1997.1,447284,109383,19905
ACCELYA,02-JUN-2021,1043.95,1048.0,1022.0,1029.3,32457,10426,4368
ACCURACY,02-JUN-2021,61.5,61.5,59.0,60.3,7060,5076,90
ACE,02-JUN-2021,166.5,170.8,165.0,166.85,357449,197090,6114
ACRYSIL,02-JUN-2021,554.9,557.5,532.25,538.4,158566,84480,8015
ADANIENT,02-JUN-2021,1425.55,1557.0,1413.0,1546.75,24541949,1839343,519240
ADANIGREEN,02-JUN-2021,1275.0,1318.45,1275.0,1299.8,1381899,683295,43586
ADANIPORTS,02-JUN-2021,802.95,824.0,802.95,811.5,27748928,3597686,381761
ADANIPOWER,02-JUN-2021,95.95,99.4,95.5,96.4,30757739,12685605,107061
ADANITRANS,02-JUN-2021,1501.0,1574.0,1500.95,1558.25,1602906,797972,50364
ADFFOODS,02-JUN-2021,1000.0,1010.0,987.35,994.35,14566,6562,1893
ADORWELD,02-JUN-2021,486.95,519.0,481.0,489.2,181154,73996,13978
ADROITINFO,02-JUN-2021,9.5,9.55,8.75,8.95,9655,2744,43
ADSL,02-JUN-2021,59.5,65.55,59.35,65.55,987923,493764,5066
ADVANIHOTR,02-JUN-2021,67.0,67.0,65.0,65.2,10800,7416,214
ADVENZYMES,02-JUN-2021,410.1,418.0,410.1,414.75,258994,113588,9523
AEGISCHEM,02-JUN-2021,364.0,377.0,361.0,374.6,1803136,641517,66071
AFFLE,02-JUN-2021,5230.0,5280.0,5225.0,5266.5,39449,18382,7372
AGARIND,02-JUN-2021,208.7,208.9,203.55,207.6,19476,11085,840
AGCNET,02-JUN-2021,1401.8,1415.0,1351.3,1406.5,12261,8688,800
AGRITECH,02-JUN-2021,43.45,45.2,42.7,44.3,13795,10760,196
AGROPHOS,02-JUN-2021,13.95,13.95,13.5,13.6,79977,48599,257
AHLADA,02-JUN-2021,115.05,115.1,108.8,111.55,4392,2607,142
AHLEAST,02-JUN-2021,175.6,185.0,173.05,181.15,7012,5331,283
AHLUCONT,02-JUN-2021,306.1,334.5,306.1,321.35,97256,46493,11972
AHLWEST,02-JUN-2021,227.5,228.0,222.35,225.05,2551,1426,243
AIAENG,02-JUN-2021,1932.0,1940.0,1908.45,1934.7,20676,13069,3140
AIRAN,02-JUN-2021,20.6,20.6,19.8,20.2,64711,52744,498
AJANTPHARM,02-JUN-2021,1937.0,1964.5,1932.95,1959.35,40694,20938,7096
